From,To
Abuse category,Type of abuse
Abuse category,Age
Abuse category,Ethnicity
Abuse category,Ethnic group
Abuse category,Marital status
Abuse category,Respondent employment status
Abuse category,Respondent inactive status
Abuse category,Respondent occupation
Abuse category,Highest qualification
Abuse category,Long standing illness or disability
Abuse category,Disablilty limitations
Abuse category,Hours out of home on an average weekday
Abuse category,Number of evening visits to bar in last month
Abuse category,Number of visits to nightclub in last month
Abuse category,Structure of household
Abuse category,Household income
Abuse category,Tenure
Abuse category,Accommodation type
Abuse category,House type
Abuse category,Output area classification
Abuse category,Area type
Abuse category,Level of physical disorder
Abuse category,Employment deprivation index
Abuse category,Geography
