Year,Units,Value
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",1.1
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",0.9
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",0.8
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",0.8
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",0.8
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",0.7
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",0.8
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",0.8
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",0.6
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",0.6
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",0.6
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",0.58
2012,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",704.5
2013,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",182.45
2014,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",345.46
2015,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",488.47
2016,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",263.43
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.43
2015,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.47
2014,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.46
2013,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.45
2012,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.5
2011,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.58
2010,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.6
2009,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.6
2008,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.6
2007,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.8
2006,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.8
2005,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.7
2004,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.8
2003,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.8
2002,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.8
2001,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",0.9
2000,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",1.1
2016,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",263.0
2015,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",277.0
2014,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",297.0
2013,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",307.0
2012,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",318.0
2011,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",443.0
2010,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",464.0
2009,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",487.0
2008,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",519.0
2007,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",542.0
2006,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",567.0
2005,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",590.0
2004,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",612.0
2003,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",633.0
2002,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",615.0
2001,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",621.0
2000,"Rate of workplace non-fatal injury per 100,000 workers (or employees or workers)",647.0
