Year,Units,Value
2004,Funding research and development,1.24522705
2005,Funding research and development,1.319055598
2006,Funding research and development,1.339095137
2007,Funding research and development,1.4051610190000001
2008,Funding research and development,1.448934837
2009,Funding research and development,1.5293893719999998
2010,Funding research and development,1.535646141
2011,Funding research and development,1.587627471
2012,Funding research and development,1.553339078
2013,Funding research and development,1.620270836
2014,Funding research and development,1.648004491
2015,Funding research and development,1.674452293
