year,tot_proportion_belownatpov_line,male,female,under_18_years,18_64_years,65andover_years,Note
2007,12.5,11.1,13.8,18,10.9,9.7,
2008,13.2,12,14.4,19,11.7,9.7,
2009,14.3,13,15.6,20.7,12.9,8.9,
2010,15.1,14,16.3,22,13.8,8.9,
2011,15,13.6,16.3,21.9,13.7,8.7,
2012,15,13.6,16.3,21.8,13.7,9.1,
2013a,14.8,13.2,16.3,21.5,13.3,10.2,redesigned income questions
2013b,14.5,13.1,15.8,19.9,13.6,9.5,consistent income questions
2014,14.8,13.4,16.1,21.1,13.5,10,
2015,13.5,12.2,14.8,19.7,12.4,8.8,
2016,,,,,,,
2017,,,,,,,
