"Year","Grade","Planet","Continent","Fruit","Value"
2010,,,,,6.63
2011,,,,,7.327
2012,,,,,7.178
2013,,,,,6.018
2014,,,,,6.659
2015,,,,,6.254
2016,,,,,6.545
2010,"A",,,,7.072
2010,"B",,,,6.187
2011,"A",,,,7.601
2011,"B",,,,7.053
2012,"A",,,,6.191
2012,"B",,,,8.166
2013,"A",,,,5.88
2013,"B",,,,6.156
2014,"A",,,,6.13
2014,"B",,,,7.187
2015,"A",,,,6.151
2015,"B",,,,6.357
2016,"A",,,,7.067
2016,"B",,,,6.022
2010,,"Earth",,,5.447
2010,,"Mars",,,8.081
2010,,"Venus",,,7.407
2011,,"Earth",,,6.114
2011,,"Mars",,,7.114
2011,,"Venus",,,10.679
2012,,"Earth",,,6.416
2012,,"Mars",,,6.67
2012,,"Venus",,,9.848
2013,,"Earth",,,5.83
2013,,"Mars",,,7.258
2013,,"Venus",,,4.629
2014,,"Earth",,,6.038
2014,,"Mars",,,6.819
2014,,"Venus",,,7.97
2015,,"Earth",,,6.163
2015,,"Mars",,,5.784
2015,,"Venus",,,7.187
2016,,"Earth",,,6.807
2016,,"Mars",,,4.977
2016,,"Venus",,,8.239
2010,,,,"Apples",6.399
2010,,,,"Lemons",4.99
2010,,,,"Oranges",8.5
2011,,,,"Apples",6.804
2011,,,,"Lemons",7.535
2011,,,,"Oranges",7.642
2012,,,,"Apples",8.778
2012,,,,"Lemons",6.31
2012,,,,"Oranges",6.448
2013,,,,"Apples",5.167
2013,,,,"Lemons",7.164
2013,,,,"Oranges",5.724
2014,,,,"Apples",8.171
2014,,,,"Lemons",6.215
2014,,,,"Oranges",5.59
2015,,,,"Apples",5.3
2015,,,,"Lemons",7.451
2015,,,,"Oranges",6.011
2016,,,,"Apples",6.04
2016,,,,"Lemons",6.944
2016,,,,"Oranges",6.65
2010,"A","Earth",,,5.808
2010,"A","Mars",,,10.454
2010,"A","Venus",,,5.159
2010,"B","Earth",,,5.087
2010,"B","Mars",,,5.708
2010,"B","Venus",,,9.656
2011,"A","Earth",,,7.509
2011,"A","Mars",,,4.902
2011,"A","Venus",,,11.879
2011,"B","Earth",,,4.719
2011,"B","Mars",,,9.327
2011,"B","Venus",,,9.479
2012,"A","Earth",,,5.417
2012,"A","Mars",,,6.027
2012,"A","Venus",,,8.371
2012,"B","Earth",,,7.415
2012,"B","Mars",,,7.312
2012,"B","Venus",,,11.325
2013,"A","Earth",,,6.205
2013,"A","Mars",,,5.256
2013,"A","Venus",,,6.005
2013,"B","Earth",,,5.455
2013,"B","Mars",,,9.261
2013,"B","Venus",,,3.252
2014,"A","Earth",,,6.384
2014,"A","Mars",,,6.642
2014,"A","Venus",,,4.727
2014,"B","Earth",,,5.691
2014,"B","Mars",,,6.996
2014,"B","Venus",,,11.213
2015,"A","Earth",,,5.544
