Year,Country,Region,Age,Sex,Method of suicide,Value
2000,,,,,,11.9
2001,,,,,,11.5
2002,,,,,,11.2
2003,,,,,,10.9
2004,,,,,,11.1
2005,,,,,,10.7
2006,,,,,,10.4
2007,,,,,,10
2008,,,,,,10.5
2009,,,,,,10.3
2010,,,,,,10.2
2011,,,,,,10.9
2012,,,,,,10.7
2013,,,,,,11.1
2014,,,,,,10.8
2015,,,,,,10.9
2000,,,,Male,,18.4
2001,,,,Male,,17.9
2002,,,,Male,,17.1
2003,,,,Male,,16.9
2004,,,,Male,,16.9
2005,,,,Male,,16.4
2006,,,,Male,,16.2
2007,,,,Male,,15.6
2008,,,,Male,,16.3
2009,,,,Male,,16.1
2010,,,,Male,,15.8
2011,,,,Male,,16.8
2012,,,,Male,,16.8
2013,,,,Male,,17.8
2014,,,,Male,,16.8
2015,,,,Male,,16.6
2000,,,,Female,,5.9
2001,,,,Female,,5.5
2002,,,,Female,,5.6
2003,,,,Female,,5.5
2004,,,,Female,,5.8
2005,,,,Female,,5.5
2006,,,,Female,,5
2007,,,,Female,,4.7
2008,,,,Female,,5
2009,,,,Female,,4.9
2010,,,,Female,,4.9
2011,,,,Female,,5.3
2012,,,,Female,,4.9
2013,,,,Female,,4.8
2014,,,,Female,,5.2
2015,,,,Female,,5.4
2000,England and Wales,,,,,11.1
2001,England and Wales,,,,,10.7
2002,England and Wales,,,,,10.3
2003,England and Wales,,,,,10.4
2004,England and Wales,,,,,10.5
2005,England and Wales,,,,,10
2006,England and Wales,,,,,9.5
2007,England and Wales,,,,,9
2008,England and Wales,,,,,9.5
2009,England and Wales,,,,,9.6
2010,England and Wales,,,,,9.3
2011,England and Wales,,,,,9.9
2012,England and Wales,,,,,9.8
2013,England and Wales,,,,,10.4
2014,England and Wales,,,,,10.3
2015,England and Wales,,,,,10.3
2016,England and Wales,,,,,9.7
2000,England and Wales,,,Male,,17.2
2001,England and Wales,,,Male,,16.8
2002,England and Wales,,,Male,,15.8
2003,England and Wales,,,Male,,16
2004,England and Wales,,,Male,,16
2005,England and Wales,,,Male,,15.4
2006,England and Wales,,,Male,,14.8
2007,England and Wales,,,Male,,14.2
2008,England and Wales,,,Male,,14.9
2009,England and Wales,,,Male,,15
2010,England and Wales,,,Male,,14.4
2011,England and Wales,,,Male,,15.4
2012,England and Wales,,,Male,,15.6
2013,England and Wales,,,Male,,16.6
2014,England and Wales,,,Male,,16
2015,England and Wales,,,Male,,15.8
2016,England and Wales,,,Male,,15.1
2000,England and Wales,,,Female,,5.6
2001,England and Wales,,,Female,,5.1
2002,England and Wales,,,Female,,5.2
2003,England and Wales,,,Female,,5.2
2004,England and Wales,,,Female,,5.5
2005,England and Wales,,,Female,,5.1
2006,England and Wales,,,Female,,4.7
2007,England and Wales,,,Female,,4.2
2008,England and Wales,,,Female,,4.5
2009,England and Wales,,,Female,,4.5
2010,England and Wales,,,Female,,4.5
2011,England and Wales,,,Female,,4.7
2012,England and Wales,,,Female,,4.4
2013,England and Wales,,,Female,,4.4
2014,England and Wales,,,Female,,4.8
2015,England and Wales,,,Female,,5
2016,England and Wales,,,Female,,4.5
2000,England,,,,,11
2001,England,,,,,10.5
2002,England,,,,,10.2
2003,England,,,,,10.1
2004,England,,,,,10.3
2005,England,,,,,9.9
2006,England,,,,,9.4
2007,England,,,,,8.9
2008,England,,,,,9.4
2009,England,,,,,9.6
2010,England,,,,,9.1
2011,England,,,,,9.7
2012,England,,,,,9.6
2013,England,,,,,10.1
2014,England,,,,,10.3
2015,England,,,,,10.1
2016,England,,,,,9.5
2000,England,,,Male,,16.9
2001,England,,,Male,,16.5
2002,England,,,Male,,15.6
2003,England,,,Male,,15.6
2004,England,,,Male,,15.6
2005,England,,,Male,,15.2
2006,England,,,Male,,14.5
2007,England,,,Male,,13.9
2008,England,,,Male,,14.7
2009,England,,,Male,,14.9
2010,England,,,Male,,14.2
2011,England,,,Male,,15.1
2012,England,,,Male,,15.2
2013,England,,,Male,,16.1
2014,England,,,Male,,16
2015,England,,,Male,,15.4
2016,England,,,Male,,14.7
2000,England,,,Female,,5.6
2001,England,,,Female,,5.1
2002,England,,,Female,,5.1
2003,England,,,Female,,5.1
2004,England,,,Female,,5.4
2005,England,,,Female,,5.1
2006,England,,,Female,,4.6
2007,England,,,Female,,4.2
2008,England,,,Female,,4.4
2009,England,,,Female,,4.5
2010,England,,,Female,,4.4
2011,England,,,Female,,4.6
2012,England,,,Female,,4.3
2013,England,,,Female,,4.3
2014,England,,,Female,,4.9
2015,England,,,Female,,5
2016,England,,,Female,,4.5
2000,Wales,,,,,12.6
2001,Wales,,,,,12.4
2002,Wales,,,,,12
2003,Wales,,,,,13
2004,Wales,,,,,12.9
2005,Wales,,,,,10.4
