Year,Flow of Official Development Assistance,Aid Broad Category Description (DAC 5 Code),Aid Description (CRS Code),Value
2009,Bilateral,,,273706.16
2009,Bilateral,"Health, General (121)",Medical research (12182),20989.18
2009,Bilateral,Basic health (122),,252716.98
2009,Bilateral,Basic health (122),Basic health care (12220),58976.49
2009,Bilateral,Basic health (122),Basic health infrastructure (12230),0
2009,Bilateral,Basic health (122),Basic nutrition (12240),12419.67
2009,Bilateral,Basic health (122),Infectious disease control (12250),118305.99
2009,Bilateral,Basic health (122),Health education (12261),666.58
2009,Bilateral,Basic health (122),Malaria control (12262),42243.5
2009,Bilateral,Basic health (122),Tuberculosis control (12263),18346.57
2009,Bilateral,Basic health (122),Health personnel development (12281),1758.18
2010,,,,557366.9698
2010,,"Health, General (121)",Medical research (12182),56221.50573
2010,,Basic health (122),,501145.464
2010,,Basic health (122),Basic health care (12220),119110.0385
2010,,Basic health (122),Basic health infrastructure (12230),2654.219109
2010,,Basic health (122),Basic nutrition (12240),29889.85632
2010,,Basic health (122),Infectious disease control (12250),80565.20262
2010,,Basic health (122),Health education (12261),2049.219646
2010,,Basic health (122),Malaria control (12262),187590.0476
2010,,Basic health (122),Tuberculosis control (12263),73588.91329
2010,,Basic health (122),Health personnel development (12281),5697.967002
2010,Bilateral,,,324857.4027
2010,Bilateral,"Health, General (121)",Medical research (12182),55607.68739
2010,Bilateral,Basic health (122),,269249.7153
2010,Bilateral,Basic health (122),Basic health care (12220),64840.53884
2010,Bilateral,Basic health (122),Basic health infrastructure (12230),0
2010,Bilateral,Basic health (122),Basic nutrition (12240),24688.3754
2010,Bilateral,Basic health (122),Infectious disease control (12250),63523.59023
2010,Bilateral,Basic health (122),Health education (12261),709.729
2010,Bilateral,Basic health (122),Malaria control (12262),90481.61482
2010,Bilateral,Basic health (122),Tuberculosis control (12263),21407.73111
2010,Bilateral,Basic health (122),Health personnel development (12281),3598.13591
2010,Multilateral,,,232509.5671
