Year,Occupation category,Value
2017,,27.16659634
2017,Managers and proprietors in agriculture and horticulture,20.33297408
2017,"Managers and proprietors in forestry, fishing and related services",43.77283066
2016,,40.38863643
2016,Managers and proprietors in agriculture and horticulture,23.43346109
2016,"Managers and proprietors in forestry, fishing and related services",68.71416871
2015,,27.3813436
2015,Managers and proprietors in agriculture and horticulture,15.22340546
2015,"Managers and proprietors in forestry, fishing and related services",47.16620413
2014,,27.25996842
2014,Managers and proprietors in agriculture and horticulture,21.3182158
2014,"Managers and proprietors in forestry, fishing and related services",51.72502244
2013,,53.10836564
2013,Managers and proprietors in agriculture and horticulture,36.74530411
2013,"Managers and proprietors in forestry, fishing and related services",76.43870556
2012,,26.59864966
2012,Managers and proprietors in agriculture and horticulture,24.02608772
2012,"Managers and proprietors in forestry, fishing and related services",32.20727169
