Year,Units,Segment,Value
2005,Passengers (millions),,202.6967775
2006,Passengers (millions),,209.924958
2007,Passengers (millions),,215.971821
2008,Passengers (millions),,212.5696485
2009,Passengers (millions),,197.256014
2010,Passengers (millions),,191.64484
2011,Passengers (millions),,200.3808225
2012,Passengers (millions),,201.8601245
2013,Passengers (millions),,209.190171
2014,Passengers (millions),,218.730889
2015,Passengers (millions),,230.8749425
2016,Passengers (millions),,247.331513
2005,Passengers (millions),International,177.977444
2006,Passengers (millions),International,185.433831
2007,Passengers (millions),International,191.975302
2008,Passengers (millions),International,189.780208
2009,Passengers (millions),International,176.385715
2010,Passengers (millions),International,172.633854
2011,Passengers (millions),International,181.472224
2012,Passengers (millions),International,183.076598
2013,Passengers (millions),International,189.997911
2014,Passengers (millions),International,199.078859
2015,Passengers (millions),International,210.271284
2016,Passengers (millions),International,226.471631
2005,Passengers (millions),Domestic,24.7193335
2006,Passengers (millions),Domestic,24.491127
2007,Passengers (millions),Domestic,23.996519
2008,Passengers (millions),Domestic,22.7894405
2009,Passengers (millions),Domestic,20.870299
2010,Passengers (millions),Domestic,19.010986
2011,Passengers (millions),Domestic,18.9085985
2012,Passengers (millions),Domestic,18.7835265
2013,Passengers (millions),Domestic,19.19226
2014,Passengers (millions),Domestic,19.65203
2015,Passengers (millions),Domestic,20.6036585
2016,Passengers (millions),Domestic,20.859882
2005,Tonnes (000s),,2293.719
2006,Tonnes (000s),,2246.899
2007,Tonnes (000s),,2272.4515
2008,Tonnes (000s),,2236.6945
2009,Tonnes (000s),,2005.44
2010,Tonnes (000s),,2286.549993
2011,Tonnes (000s),,2255.950386
2012,Tonnes (000s),,2259.893183
2013,Tonnes (000s),,2213.38
2014,Tonnes (000s),,2255.365
2015,Tonnes (000s),,2249.944692
2016,Tonnes (000s),,2350.923464
2005,Tonnes (000s),International,2226.455
2006,Tonnes (000s),International,2179.252
2007,Tonnes (000s),International,2219.666
2008,Tonnes (000s),International,2191.236
2009,Tonnes (000s),International,1963.02
2010,Tonnes (000s),International,2248.278253
2011,Tonnes (000s),International,2214.299623
2012,Tonnes (000s),International,2217.458412
2013,Tonnes (000s),International,2164.373
2014,Tonnes (000s),International,2206.244
2015,Tonnes (000s),International,2200.546605
2016,Tonnes (000s),International,2308.429873
2005,Tonnes (000s),Domestic,67.264
2006,Tonnes (000s),Domestic,67.647
2007,Tonnes (000s),Domestic,52.7855
2008,Tonnes (000s),Domestic,45.4585
2009,Tonnes (000s),Domestic,42.42
2010,Tonnes (000s),Domestic,38.27174
2011,Tonnes (000s),Domestic,41.650763
2012,Tonnes (000s),Domestic,42.4347705
2013,Tonnes (000s),Domestic,49.007
2014,Tonnes (000s),Domestic,49.121
2015,Tonnes (000s),Domestic,49.3980865
2016,Tonnes (000s),Domestic,42.493591
