Year,Sex,Value
2000,,14.76158147255312
2001,,14.169370164812086
2002,,13.642700772718555
2003,,12.582399011429443
2004,,11.809142518176309
2005,,11.453701546696376
2006,,11.187755299100205
2007,,11.046833791556907
2008,,10.365071596343007
2009,,9.643339129455285
2010,,9.820264089718068
2011,,9.74725173924357
2012,,9.77901622869408
2013,,9.735606580858757
2014,,9.786219688596123
2015,,9.572012906719511
2016,,9.439115047026055
2000,Male,20.38259409151889
2001,Male,19.630162095301834
2002,Male,19.081818097170494
2003,Male,17.697489600523404
2004,Male,16.73876362180724
2005,Male,16.25347314556329
2006,Male,15.861064960382334
2007,Male,15.528774270670292
2008,Male,14.578542998562554
2009,Male,13.671965430455819
2010,Male,14.10369667447548
2011,Male,13.907165474705007
2012,Male,13.832843138646103
2013,Male,13.89425069988337
2014,Male,13.755243522822159
2015,Male,13.550328531927267
2016,Male,13.376091779920396
2000,Female,8.095087483872337
2001,Female,7.7000352141588095
2002,Female,7.242313348458206
2003,Female,6.550910867372699
2004,Female,6.017601611297751
2005,Female,5.842116841250456
2006,Female,5.736998203482551
2007,Female,5.789819323727633
2008,Female,5.451353146191308
2009,Female,5.048395123194653
2010,Female,4.931182227005482
2011,Female,4.996855492035059
2012,Female,5.134232078654553
2013,Female,4.99971335766284
2014,Female,5.274516409788611
2015,Female,5.043131224844548
2016,Female,4.960321397438759
