Industry sector,Industry higher sub-category,Industry middle sub-category,Industry lower sub-category,Value
Agriculture,,,,0.822055422
Agriculture,"Crop and animal production, hunting and related service activities",,,0.759269086
Agriculture,Forestry and logging,,,0.019038437
Agriculture,Fishing and aquaculture,,,0.055414005
Mining and quarrying,,,,5.464355589
Mining and quarrying,Mining of coal and lignite,,,0.068052287
Mining and quarrying,Extraction of crude petroleum and natural gas,,,5.395574171
Mining and quarrying,Mining of metal ores,,,0
Mining and quarrying,Other mining and quarrying,,,0.302589633
Mining and quarrying,Mining support service activities,,,0.154332865
Manufacturing,,,,13.37592002
Manufacturing,"Manufacture of food products, beverages and tobacco",,,1.859528738
Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,1.440845145
Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,0.243286925
Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",0.157492435
Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Vegetable and animal oils and fats,0.029975412
Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Dairy products,0.084012168
Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Grain mill products, starches and starch products",0.110260908
Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Bakery and farinaceous products,0.246041423
Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Other food products,0.502371703
Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Prepared animal feeds,0.084174198
Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,0.318954587
Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Alcoholic beverages,0.223033269
Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Soft drinks; production of mineral waters and other bottled waters,0.11082801
Manufacturing,"Manufacture of food products, beverages and tobacco",Tobacco products,,0.108478586
Manufacturing,"Manufacture of textiles, wearing apparel and leather products",,,0.623893644
Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Textiles,,0.334914469
Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Wearing apparel,,0.205048021
Manufacturing,"Manufacture of textiles, wearing apparel and leather products",Leather and related products,,0.098675816
Manufacturing,"Manufacture of wood and paper products, and printing",,,1.193750532
Manufacturing,"Manufacture of wood and paper products, and printing","Wood and products of wood and cork, except furniture; articles of straw and plaiting materials",,0.267024211
Manufacturing,"Manufacture of wood and paper products, and printing",Paper and paper products,,0.355411169
Manufacturing,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,0.569694858
Manufacturing,"Manufacture of coke, and refined petroleum products",,,0.469479765
Manufacturing,"Manufacture of coke, and refined petroleum products",Coke and refined petroleum products,,0.469479765
Manufacturing,Manufacture of chemicals and chemical products,,,0.741526883
Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Industrial gases, inorganics and fertilisers (all inorganic chemicals)",0.07493853
Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Petrochemicals,0.174424492
Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Dyestuffs, agro-chemicals",0.071373887
Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Paints, varnishes and similar coatings, printing ink and mastics",0.146150387
Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",0.140155305
Manufacturing,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Other chemical products,0.211529192
Manufacturing,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,0.919353989
Manufacturing,"Manufacture of rubber and plastics products, & other non-metallic mineral products",,,1.227047543
Manufacturing,"Manufacture of rubber and plastics products, & other non-metallic mineral products",Rubber and plastic products,,0.849600395
Manufacturing,"Manufacture of rubber and plastics products, & other non-metallic mineral products",Manufacture of other non-metallic mineral products,,0.400293273
Manufacturing,"Manufacture of rubber and plastics products, & other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Glass, refractory, clay, porcelain, ceramic, stone products",0.251631432
Manufacturing,"Manufacture of rubber and plastics products, & other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Cement, lime, plaster and articles of concrete, cement and plaster",0.158302582
Manufacturing,Manufacture of basic metals and metal products,,,1.545029955
Manufacturing,Manufacture of basic metals and metal products,Manufacture of basic metals,,0.305101086
Manufacturing,Manufacture of basic metals and metal products,,Basic iron and steel,0.190546403
Manufacturing,Manufacture of basic metals and metal products,,Other basic metals and casting,0.137643852
Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",,1.224698119
Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment","Fabricated metal products, excluding weapons and ammunition",1.093859496
Manufacturing,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",Weapons and ammunition,0.100620167
Manufacturing,"Manufacturing of computer, electronic & optical products",,,1.242521337
Manufacturing,Manufacture of electrical equipment,,,0.479525578
Manufacturing,Manufacture of machinery and equipment n.e.c.,,,0.841417918
Manufacturing,Manufacture of transport equipment,,,1.048167247
Manufacturing,Manufacture of transport equipment,"Motor vehicles, trailers and semi-trailers",,0.697941013
Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,,0.418359535
Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,Building of ships and boats,0.064649672
Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,Air and spacecraft and related machinery,0.325840831
Manufacturing,Manufacture of transport equipment,Manufacture of other transport equipment,Other transport equipment,0.037914846
Manufacturing,Other manufacturing and repair,,,1.23749843
Manufacturing,Furniture and other manufacturing,,,0.722488445
Manufacturing,Furniture and other manufacturing,Furniture,,0.321871114
Manufacturing,Furniture and other manufacturing,Other manufacturing,,0.40426299
Manufacturing,Furniture and other manufacturing,Repair and installation of machinery and equipment,,0.515901146
Manufacturing,Furniture and other manufacturing,Repair and installation of machinery and equipment,Repair and maintenance of ships and boats,0.022603081
Manufacturing,Furniture and other manufacturing,Repair and installation of machinery and equipment,Repair and maintenance of aircraft and spacecraft,0.125734701
Manufacturing,Furniture and other manufacturing,Repair and installation of machinery and equipment,Rest of repair; installation,0.370884963
"Electricity, gas, steam and air conditioning supply",,,,1.608383394
"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply"," electric power generation, transmission and distribution",,1.046871013
"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply"," gas; distribution of gaseous fuels through mains; steam and air conditioning supply",,0.552600772
"Water supply; sewerage, waste management and remediation activities",,,,1.210277516
"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",,,0.44120566
"Water supply; sewerage, waste management and remediation activities"," sewerage, waste collection, treatment and disposal activities; materials recovery and remediation activities and other waste management services",Remediation activities and other waste management services,,0.795887698
"Water supply; sewerage, waste management and remediation activities"," sewerage, waste collection, treatment and disposal activities; materials recovery and remediation activities and other waste management services",Sewerage,,0.311582256
"Water supply; sewerage, waste management and remediation activities"," sewerage, waste collection, treatment and disposal activities; materials recovery and remediation activities and other waste management services","Waste collection, treatment and disposal activities; materials recovery",,0.48568269
